EVTM,NAME,QUALIFIER,LOCATION,ITEMID_,SORT
"ETA","S503",,"In 14A509, in T/O to inline C514M",,
"ETA","S504",,"In 14A005, near T/O to C513 left front door speaker",,
"ETA","S510",,"In 14A005, near T/O to inline C515F",,
"ETA","S511",,"In 14A005, near T/O to C2002 brake on/off switch",,
"ETA","S512",,"In 14A005, near T/O to C2002 brake on/off switch",,
"ETA","S600",,"In 14A005, near T/O to C610 right front window motor",,
"ETA","S901",,"In 14334, in T/O to C323",,
"ETA","S902",,"In 14334, in T/O to C908 rear dome/reading lamp",,
"ETA","S147",,"In 7C078, near T/O to C101",,
"ETA","S198",,"In 14292, near T/O to C124 fuel injector module (FIM)",,
"ETA","S227",,"In 14401, near T/O to C2029 lighting control module (LCM)",,
"ETA","S245",,"In 14A005, near T/O to C2002 brake on/off (BOO) switch",,
"ETA","S269",,"In 14401, near T/O to C256 instrument cluster",,
"ETA","S278",,"In 14401, near safety wall grommet",,
"ETA","S282",,"In police fuse block harness, near T/O to police option fuse holder",,
"ETA","S283",,"In police fuse block harness, near T/O to police option fuse holder",,
"ETA","S286",,"In 14401, near T/O to C296 park brake switch",,
"ETA","S294",,"In 14401, near T/O to C251 instrument cluster",,
"ETA","S295",,"In 14290, near T/O to C120",,
"ETA","S409",,"In 14405, near T/O to C408",,
"ETA","S420",,"In 14405, near T/O to C408",,
"ETA","S505",,"In 14A005, near T/O to C508 left power/heated mirror",,
"ETA","S506",,"In 14A005, near T/O to grommet",,
"ETA","S507",,"In 14A509, near T/O to C514",,
"ETA","S900",,"In 14334, in T/O to C323",,
