EVTM,NAME,QUALIFIER,LOCATION,ITEMID_,SORT
EXU,S358,Heated rear window,"behind dash panel, LH-side",,
EXU,S359,lower option content,"behind dash panel, LH-side",,
EXU,S360,,"engine compartment, LH-side, rear",,
EXU,S361,"with bulb outage warning, without daytime running lamps","engine compartment, front, center",,
EXU,S361,"with bulb outage warning, with daytime running lamps","engine compartment, front, center",,
EXU,S361,"without auxiliary warning, higher option content","engine compartment, front, center",,
EXU,S361,without auxiliary warning,"engine compartment, front, center",,
EXU,S361,with auxiliary warning,"engine compartment, front, center",,
EXU,S361,,"engine compartment, front, center",,
EXU,S362,"lower option content, without daytime running lamps","engine compartment, front, center",,
EXU,S362,lower option content,"engine compartment, front, center",,
EXU,S362,"with bulb outage warning, without daytime running lamps","engine compartment, front, center",,
EXU,S362,"with bulb outage warning, with daytime running lamps","engine compartment, front, center",,
EXU,S362,with bulb outage warning,"engine compartment, front, center",,
EXU,S362,higher option content,"engine compartment, front, center",,
EXU,S362,"without auxiliary warning, higher option content","engine compartment, front, center",,
EXU,S362,without auxiliary warning,"engine compartment, front, center",,
EXU,S362,"with auxiliary warning, higher option content","engine compartment, front, center",,
EXU,S362,with auxiliary warning,"engine compartment, front, center",,
EXU,S362,,"engine compartment, front, center",,
EXU,S363,"lower option content, without daytime running lamps","engine bulkhead, LH-side",,
EXU,S363,with bulb outage warning,"engine bulkhead, LH-side",,
EXU,S363,with variable intermittent wipers,"engine bulkhead, LH-side",,
EXU,S363,"without auxiliary warning, higher option content","engine bulkhead, LH-side",,
EXU,S363,without auxiliary warning,"engine bulkhead, LH-side",,
EXU,S363,"with auxiliary warning, higher option content","engine bulkhead, LH-side",,
EXU,S363,with auxiliary warning,"engine bulkhead, LH-side",,
EXU,S363,,"engine bulkhead, LH-side",,
EXU,S364,"Data Link Connector, pin 7","behind dash panel, LH-side",,
EXU,S364,,"behind dash panel, LH-side",,
EXU,S365,,"wheel well, front, LH-side",,
EXU,S366,"Duratec-VE, automatic transmission","engine compartment, rear, RH-side",,
EXU,S366,Duratec-VE,"engine compartment, rear, RH-side",,
EXU,S366,"ZETEC-VCT, automatic transmission","engine compartment, rear, RH-side",,
EXU,S366,ZETEC-VCT,"engine compartment, rear, RH-side",,
EXU,S367,with bulb outage warning,"behind dash panel, LH-side",,
EXU,S367,Duratec-VE,"behind dash panel, LH-side",,
EXU,S367,without auxiliary warning,"behind dash panel, LH-side",,
EXU,S367,with auxiliary warning,"behind dash panel, LH-side",,
EXU,S367,ZETEC-VCT,"behind dash panel, LH-side",,
EXU,S367,,"behind dash panel, LH-side",,
EXU,S369,lower option content,"behind dash panel, center",,
EXU,S369,higher option content,"behind dash panel, center",,
EXU,S370,with double locking,RH A-pillar,,
EXU,S370,,RH A-pillar,,
EXU,S371,with double locking,RH A-pillar,,
EXU,S372,"without daytime running lamps, higher option content","behind dash panel, LH-side",,
EXU,S372,with daytime running lamps,"behind dash panel, LH-side",,
EXU,S372,,"behind dash panel, LH-side",,
EXU,S373,"without daytime running lamps, higher option content","behind dash panel, LH-side",,
EXU,S373,"with bulb outage warning, without daytime running lamps","behind dash panel, LH-side",,
EXU,S373,"with bulb outage warning, with daytime running lamps","behind dash panel, LH-side",,
EXU,S373,with daytime running lamps,"behind dash panel, LH-side",,
EXU,S373,,"behind dash panel, LH-side",,
EXU,S374,,center console,,
EXU,S375,manual transmission,center console,,
EXU,S375,automatic transmission,center console,,
EXU,S376,Auxiliary warning,"wheel well, front, LH-side",,
EXU,S377,,"behind dash panel, LH-side",,
EXU,S405,,"engine bulkhead, LH-side",,
EXU,S406,"Duratec-VE, manual transmission","behind dash panel, LH-side",,
